galaxy_name,n_data_points,f_disk,f_disk_error,rho_c_Msun_kpc3,rho_c_error,r_c_kpc,r_c_error,chi_squared,chi_squared_reduced,degrees_of_freedom,soliton_mass_5rc_Msun,virial_mass_estimate_Msun,virial_radius_estimate_kpc,used_phonon_term,error_floor_fraction
NGC3953,8,0.7099259491769292,0.3161119197192217,237454140.6465542,607174953.4849385,1.3854478950762588,1.2450066619944427,0.42986912617970674,0.08597382523594135,5,28777944318.708145,171101963009.14127,114.54399078635893,True,0.05
NGC3972,10,0.10000000000000002,2.1251722452489425,136198033.20408165,70867367.45241235,1.7830796943862164,0.34775251405959834,0.566366288724581,0.08090946981779727,7,35187833508.43872,36172768552.234825,68.23615745012927,True,0.05
NGC3992,9,0.7720576355892979,0.16525032418412158,353331471.7702431,1199548976.5035217,1.4860761560882778,2.4890857246454923,0.5821426590657125,0.09702377651095208,6,52846344300.4866,596150424725.2515,173.6491247522982,True,0.05
NGC4010,12,0.10000000000123638,3.2790879619062,65744414.82715737,80628571.92810424,2.5338780812058883,1.3418021635118433,7.372327309292937,0.8191474788103263,9,48744479562.66802,40584074179.12504,70.90429237766367,True,0.05
NGC4013,36,0.835613608707255,0.02686931909759298,3832145.5797697795,1339729.4159185484,16.379187116978837,5.333541935350995,7.686000375336765,0.23290910228293227,33,767411780273.588,232367793431.82324,126.84673431835573,True,0.05
NGC4051,7,0.6253443691563958,0.15300765280209358,119558993.8113203,173180142.94168243,1.4728244527956158,1.0476863237056804,1.5237208315283104,0.3809302078820776,4,17407830079.21576,68749740950.78784,84.52353811640114,True,0.05
NGC4068,6,0.1000000000026014,7.045446470869242,26001446.09696566,58113707.482347,1.748966283731825,3.5658999386114623,0.1894909840097913,0.06316366133659711,3,6339445078.222067,924968350.6657337,20.1030955592418,True,0.05
NGC4085,7,0.10000000000000016,2.0451712245969187,182899292.86774686,304196580.432953,1.7520042831028033,1.422290344536167,2.580415554725137,0.6451038886812842,4,44825686187.956184,28909253373.19179,63.32369832727028,True,0.05
NGC4088,12,0.666536344237225,0.033788238830385516,2706212.3145373934,2116576.0643095807,28.460286426579206,52.4766449609361,2.395223939660213,0.2661359932955792,9,2843080096394.953,148988845881.97092,109.38016262903906,True,0.05
NGC4100,24,0.7943089955094212,0.06746149416031973,126210432.30909628,110949487.87941097,1.7475394945665614,0.7623693267809204,7.335361871016957,0.34930294623890273,21,30696275400.384212,143229157626.82297,107.95210751294869,True,0.05
NGC4138,7,0.7674231861084059,3.1672959638345297,191122201.29926926,17147892598.774952,1.276763049477032,58.49992509448041,2.9350887609401095,0.7337721902350274,4,18128066445.579407,94283886003.63826,93.90739733284943,True,0.05
NGC4157,17,0.711099595456564,0.046498165580673045,7668527.099463747,6452655.336832361,10.035009477516475,6.178571016162466,2.261089395753168,0.1615063854109406,14,353162633794.36505,234139176116.99713,127.16824409645852,True,0.05
NGC4183,23,0.7623123411653114,0.21226093290573653,97878057.77922706,60517828.05378717,1.3687582650311927,0.37868584932684607,1.3948636506007386,0.06974318253003693,20,11438656967.08964,56859099100.48558,79.33910630892558,True,0.05
NGC4214,14,1.1491497605084806,0.11029638782622234,40941240.33659989,33068405.608840894,2.190983407335975,1.4196186402035185,7.400595137070477,0.672781376097316,11,19624007034.51905,9246376696.870592,43.30564455542346,True,0.05
NGC4217,19,0.3238922007826067,0.4073939127112505,188890890.7415868,540744199.5463822,1.9778932621590024,2.9519257341651315,17.132443229088718,1.0707777018180449,16,66608399296.137085,142087755579.48688,107.6645833739609,True,0.05
NGC4389,6,0.18681784738230295,0.23355746609971975,39080634.10632112,31721884.457715668,4.011175196159503,3.3209164432101113,0.4029578457048813,0.1343192819016271,3,114943898926.76193,14173396895.745176,49.93196173574698,True,0.05
NGC4559,32,0.7504024241437605,0.1078890037563351,13533298.675336815,14620647.337275533,4.488066913778024,2.890306661728413,3.8946175750197165,0.13429715775930057,29,55755930230.84205,75622395229.65463,87.2510755142887,True,0.05
NGC5005,18,0.7265857058767385,0.0482643019904904,42779805.93391524,76020497.04015103,4.743440731335448,6.334851992032414,0.607183156991393,0.040478877132759536,15,208079202651.45966,180631514665.94644,116.63220527652594,True,0.05
NGC5033,22,0.6552264867333847,0.09595922157291449,251471786.69311777,473555482.16096723,1.6152578520695544,1.542796052258394,10.624651356226147,0.5591921766434814,19,48297458673.11657,415362837142.85455,153.94415064973168,True,0.05
NGC5055,28,0.6452285737161022,0.03909624375103409,30389740.53112884,29097297.37823114,4.125129691610277,2.0996625463458636,2.6551259032984382,0.10620503613193753,25,97218573122.41988,399931367449.97345,152.01360863271958,True,0.05
NGC5371,19,0.8302751375659384,0.019359198933064103,556773.8547060416,583357.1082418935,49.99999999999968,94.08439435288838,18.255354713282888,1.1409596695801805,16,3171745085693.1357,425484054776.32684,155.1845242751114,True,0.05
NGC5585,24,0.7900255593548072,0.030477643790314587,16576176.841677539,4110466.3458047216,3.746909151617528,0.72064372008109,30.299044440010704,1.4428116400005098,21,39738666579.99614,23072600001.163994,58.73804555674667,True,0.05
NGC5907,19,1.0314604096102744,0.02901636146752471,941902.0152045728,478138.8284020681,47.926557904227195,38.28974764017336,8.73403533429974,0.5458772083937338,16,4725457618447.13,557859914343.0502,169.84875378222665,True,0.05
NGC5985,33,0.7708319603557339,0.16733247290652054,1078677289.3164089,515104322.2002026,1.0464266020046589,0.2893088070291717,9.548411111104455,0.3182803703701485,30,56328382375.19944,671732180873.791,180.69773035382843,True,0.05
NGC6015,44,1.0289529262673949,0.01784780145332868,4742817.882870105,1393890.9332656742,11.82515361812888,2.8983861803698483,49.83550933491197,1.2155002276807798,41,357409631671.75806,171772991651.6494,114.69353521780394,True,0.05
